,full_address,status,price,bed,bath,house,acre_lot,house*acre lot,street,city,state,zip_code,house_size,sold_date,sold_year,n1_total,total_credit_amt,taxable_income_amt,mortgageint_amt,p_mortgageint_nr,inctax_amt,p_unemploy_nr,agi_amt,num_dependents,p_re_taxes_nr,agi_bucket
1748,"201 Joes Hill Rd, Brewster, NY, 10509",for_sale,1056400,3,3,1,6.03,6.03,201 Joes Hill Rd,Brewster,New York,10509,2818,2/11/11,2011,9517,0.364400546,56.71514133,4.814437323,0.410843753,11.36576652,0.082483976,82.56856152,0.631186298,0.473153305,2.901334454
1749,"201 Luis M Marin Blvd Unit 305, Jersey City, NJ, 07302",for_sale,599000,1,1,0,NA,0,201 Luis M Marin Blvd Unit 305,Jersey City,New Jersey,7302,751,4/4/13,2013,22130,0.437957524,91.92399458,2.72467239,0.228648893,20.77388161,0.065521916,114.0526887,0.339358337,0.250338906,3.481699051
1750,"201 Park Ln, Haddonfield, NJ, 08033",for_sale,449000,4,2,1,0.15,0.15,201 Park Ln,Haddonfield,New Jersey,8033,1548,7/30/14,2014,8080,0.533415842,110.9086634,4.566336634,0.426980198,26.66163366,0.040841584,144.1462871,0.66460396,0.556930693,3.48019802
1751,"201 Spruce Ct, Flemington, NJ, 08822",for_sale,285000,2,2,1,NA,0,201 Spruce Ct,Flemington,New Jersey,8822,1063,4/12/10,2010,14661,0.508423709,70.78152923,5.817133893,0.466407476,15.15060364,0.111111111,98.77845986,0.655753359,0.559170589,3.154832549
1752,"201 W 21st St Apt 7B, New York, NY, 10011",for_sale,578000,0,1,0,NA,0,201 W 21st St Apt 7B,New York,New York,10011,500,6/23/10,2010,30669,0.805471323,141.5049072,4.650885259,0.275098634,37.66373211,0.084873977,180.4887019,0.176464834,0.300727119,3.392774463
1753,"201 W 72nd St Apt 15F, New York City, NY, 10023",for_sale,995000,1,1,0,NA,0,201 W 72nd St Apt 15F,New York City,New York,10023,700,5/18/11,2011,34598,1.395456385,210.2885427,4.434504885,0.308254812,57.21284467,0.067258223,267.7071507,0.269553153,0.348575062,3.663101913
1754,"201 W Lincoln Ave, Magnolia, NJ, 08049",for_sale,275000,4,2,1,0.15,0.15,201 W Lincoln Ave,Magnolia,New Jersey,8049,2234,8/27/12,2012,2630,0.344486692,30.43574144,2.141444867,0.330798479,4.340304183,0.152091255,48.32623574,0.566539924,0.384030418,2.349809886
1755,"201 Woodward Rd, Media, PA, 19063",for_sale,815000,5,4,1,0.42,0.42,201 Woodward Rd,Media,Pennsylvania,19063,3124,8/15/14,2014,18640,0.472746781,90.62151288,3.339806867,0.350858369,20.62162017,0.041309013,115.4270386,0.479077253,0.434012876,3.170600858
1756,"2010 Windrow Dr, Princeton, NJ, 08540",for_sale,325000,2,2,1,NA,0,2010 Windrow Dr,Princeton,New Jersey,8540,1469,6/25/12,2012,20020,1.276523477,184.3982517,5.438811189,0.403596404,46.44455544,0.058441558,232.5765235,0.695304695,0.536463536,3.68031968
1757,"2011 Blaine Ave, Atlantic City, NJ, 08401",for_sale,129900,3,2,1,0.06,0.06,2011 Blaine Ave,Atlantic City,New Jersey,8401,1344,10/26/10,2010,18218,0.250795916,13.40295312,0.777747283,0.097540894,1.7711055,0.209957191,28.42145131,0.680151499,0.11801515,1.585519816
1758,"2011 Pemberton St, Philadelphia, PA, 19146",for_sale,585000,2,2,0,0.02,0,2011 Pemberton St,Philadelphia,Pennsylvania,19146,1200,4/21/10,2010,17446,0.312277886,35.18932707,2.397455004,0.206924223,6.539321334,0.118537201,51.26527571,0.442966869,0.216840537,2.189384386
1759,"2015 E 64th St, Brooklyn, NY, 11234",for_sale,819000,3,3,1,0.05,0.05,2015 E 64th St,Brooklyn,New York,11234,1325,4/8/13,2013,41180,0.353715396,36.83343856,2.87459932,0.264205925,6.486571151,0.076250607,58.85947062,0.66998543,0.304273919,2.48810102
1760,"202 Arizona Ave, Atlantic City, NJ, 08401",for_sale,154900,3,1,1,0.03,0.03,202 Arizona Ave,Atlantic City,New Jersey,8401,1254,8/25/11,2011,18458,0.224184635,13.41532127,0.666919493,0.089283779,1.815039549,0.207823172,28.1551089,0.936233611,0.111279662,1.587550114
1761,"202 Massachusetts Ave, Providence, RI, 02905",for_sale,298000,4,2,1,0.07,0.07,202 Massachusetts Ave,Providence,Rhode Island,2905,1752,10/10/13,2013,11720,0.279010239,23.23617747,1.149146758,0.160409556,3.804948805,0.12116041,38.89948805,0.703924915,0.18003413,1.889078498
1762,"202 Newport Way, Little Egg Harbor, NJ, 08087",for_sale,399900,3,3,1,0.21,0.21,202 Newport Way,Little Egg Harbor,New Jersey,8087,2470,1/11/11,2011,11761,0.311453108,32.49749171,3.125754613,0.351330669,4.950089278,0.177110798,51.76047955,0.50752487,0.419352096,2.420882578
1763,"202 Well Sweep Rd, Readington Twp, NJ, 08889",for_sale,529900,3,3,1,NA,0,202 Well Sweep Rd,Readington Twp,New Jersey,8889,1988,7/15/14,2014,4840,0.416942149,104.7289256,4.589256198,0.460743802,24.44979339,0.051652893,134.9873967,0.588842975,0.595041322,3.493801653
1764,"2023 E 58th St Unit 146A, Brooklyn, NY, 11234",for_sale,219000,1,1,0,NA,0,2023 E 58th St Unit 146A,Brooklyn,New York,11234,730,10/30/14,2014,41630,0.347393706,38.76190247,2.746432861,0.256785972,6.870165746,0.055729042,60.76437665,0.661061734,0.300744655,2.527744415
1765,"2024 Independence Dr, New Windsor, NY, 12553",for_sale,639990,4,4,1,0.31,0.31,2024 Independence Dr,New Windsor,New York,12553,3619,1/7/14,2014,12370,0.348504446,40.8371059,2.678738884,0.316895715,6.680355699,0.059013743,62.22764753,0.617623282,0.361358124,2.67178658
1766,"2029 E 58th St Unit 144D, Brooklyn, NY, 11234",for_sale,265000,2,1,0,NA,0,2029 E 58th St Unit 144D,Brooklyn,New York,11234,850,4/3/14,2014,41630,0.347393706,38.76190247,2.746432861,0.256785972,6.870165746,0.055729042,60.76437665,0.661061734,0.300744655,2.527744415
1767,"2029 Windrow Dr, Princeton, NJ, 08540",for_sale,239000,1,1,1,NA,0,2029 Windrow Dr,Princeton,New Jersey,8540,975,8/13/14,2014,20200,1.356732673,176.7825743,4.651683168,0.383663366,47.23420792,0.034158416,218.9871782,0.670792079,0.520792079,3.747524752
1768,"203 Avon Rd, Pine Beach, NJ, 08741",for_sale,549900,4,2,1,0.29,0.29,203 Avon Rd,Pine Beach,New Jersey,8741,1700,5/11/10,2010,1326,0.496983484,43.76696833,4.564102564,0.42760181,6.984917044,0.137254977,65.73001508,0.561840121,0.499245852,2.832579186
1769,"203 Harrison Ave Apt 41, Jersey City, NJ, 07304",for_sale,229900,2,1,0,NA,0,203 Harrison Ave Apt 41,Jersey City,New Jersey,7304,634,4/21/14,2014,20850,0.271846523,23.55539568,0.807721823,0.100719424,3.636211031,0.06618705,39.4505036,0.702158273,0.114628297,1.984172662
1770,"203 N 6th St, Stroudsburg, PA, 18360",for_sale,265000,3,2,1,0.04,0.04,203 N 6th St,Stroudsburg,Pennsylvania,18360,1530,8/30/11,2011,13300,0.362105263,34.26045113,2.631654135,0.296315789,5.670601504,0.135112782,52.9218797,0.58075188,0.344210526,2.350676692
1771,"203 Oak Ln, Little Egg Harbor Township, NJ, 08087",for_sale,389500,4,3,1,0.23,0.23,203 Oak Ln,Little Egg Harbor Township,New Jersey,8087,1868,4/9/10,2010,11835,0.357498944,32.37803126,3.530291508,0.370764681,4.827545416,0.188255184,51.89936629,0.505449937,0.437262357,2.430587241
1772,"203 Reeves Ave, Browns Mills, NJ, 08015",for_sale,265000,3,2,1,0.37,0.37,203 Reeves Ave,Browns Mills,New Jersey,8015,1402,10/4/10,2010,9680,0.444834721,27.58842975,2.884607448,0.33212811,3.625206612,0.173863636,45.3463843,0.631198357,0.348966952,2.288739669
1773,"203 W 90th St Apt 4E, New York City, NY, 10024",for_sale,3995000,3,3,0,NA,0,203 W 90th St Apt 4E,New York City,New York,10024,2891,11/20/12,2012,30870,1.365630062,237.4426628,4.472789116,0.296728215,62.68675089,0.06122449,303.1906058,0.360220279,0.330093942,3.603498542
1774,"2033 W Oxford St, Philadelphia, PA, 19121",for_sale,245000,5,2,0,0.02,0,2033 W Oxford St,Philadelphia,Pennsylvania,19121,1710,11/12/13,2013,12350,0.239190283,10.61732794,0.273279352,0.048582996,1.249473684,0.113360324,23.86437247,0.867206478,0.058299595,1.469635628
1775,"2033 Windrow Dr, Princeton, NJ, 08540",for_sale,430000,2,2,1,NA,0,2033 Windrow Dr,Princeton,New Jersey,8540,1500,5/2/13,2013,20010,1.479310345,160.0309845,4.947976012,0.397801099,42.61449275,0.044977511,202.501949,0.690154923,0.533233383,3.725637181
1776,"2035 E 7th St Apt 7K, Brooklyn, NY, 11223",for_sale,389000,2,1,0,NA,0,2035 E 7th St Apt 7K,Brooklyn,New York,11223,900,7/5/11,2011,30355,0.441442925,37.13141163,1.490462856,0.116059957,7.943567781,0.093921924,59.54999176,0.727030143,0.147553945,2.05014001
1777,"2039 Ford St, Brooklyn, NY, 11229",for_sale,748000,3,1,1,0.04,0.04,2039 Ford St,Brooklyn,New York,11229,1224,1/24/11,2011,33981,0.331037933,33.25066949,1.936199641,0.185574292,5.843471352,0.089932609,52.62879256,0.660781025,0.221653277,2.291751273
1778,"2039 N Wanamaker St, Philadelphia, PA, 19131",for_sale,234900,3,2,0,0.03,0,2039 N Wanamaker St,Philadelphia,Pennsylvania,19131,1192,6/25/14,2014,17310,0.274350087,21.72536106,0.705083767,0.13056037,3.148700173,0.077411901,36.7955517,0.655112652,0.150779896,1.93876372
