"","full_address","status","price","bed","bath","acre_lot","street","city","state","zip_code","house_size","sold_date","sold_year","n1_total","total_credit_amt","taxable_income_amt","mortgageint_amt","p_mortgageint_nr","inctax_amt","p_unemploy_nr","agi_amt","num_dependents","re_taxes_nr","agi_bucket"
"266","102 Inwood Ave, Montclair, NJ, 07043","for_sale",1350000,6,5,0.29,"102 Inwood Ave","Montclair","New Jersey","07043",3800,2013-08-20,"2013",5680,1338.64788732394,272131.954225352,9793.70774647887,2740,76869.4929577465,0.0580985915492958,343715.426056338,1111.02112676056,828.75,3.92429577464789
"267","102 Marne St, Newark, NJ, 07105","for_sale",283000,2,1,0.03,"102 Marne St","Newark","New Jersey","07105",NA,2014-10-21,"2014",18710,834.37840726884,48579.2495991448,1101.18065205772,1030,5475.67878140032,0.0689470871191876,130800.231427044,4021.32014965259,236.034206306788,1.84179583110636
"268","102 New York Ave, Lavallette, NJ, 08735","for_sale",1350000,6,3,0.11,"102 New York Ave","Lavallette","New Jersey","08735",NA,2013-06-25,"2013",1540,36.8116883116883,14210.487012987,734.603896103896,490,2646.7987012987,0.0844155844155844,20307.3701298701,61.2987012987013,130.454545454545,2.98701298701299
"269","102 Pitney Rd, Hopatcong, NJ, 07821","for_sale",6e+05,3,2,0.32,"102 Pitney Rd","Hopatcong","New Jersey","07821",NA,2014-08-07,"2014",4340,264.306451612903,47065.7926267281,2993.20737327189,1920,8885.20046082949,0.0737327188940092,66764.7465437788,487.557603686636,406.889400921659,3.18663594470046
"270","102 Pondview Dr, Washington Crossing, PA, 18977","for_sale",1050000,5,3,10.54,"102 Pondview Dr","Washington Crossing","Pennsylvania","18977",3559,2011-07-11,"2011",2210,228.164705882353,66844.6049773756,3294.01176470588,1114,16419.0755656109,0.0828054298642534,83127.4714932127,240.026244343891,270.814027149321,3.69140271493213
"271","102 Private Dr, Dingmans Ferry, PA, 18328","for_sale",479900,3,3,0.54,"102 Private Dr","Dingmans Ferry","Pennsylvania","18328",3048,2012-10-03,"2012",3710,210.803234501348,15881.6576819407,1696.22641509434,1320,2079.09703504043,0.15633423180593,29221.1428571429,463.234501347709,246.765498652291,2.38544474393531
"272","102 Robert St Unit 102, Westport, MA, 02790","for_sale",220000,2,1,NA,"102 Robert St Unit 102","Westport","Massachusetts","02790",806,2011-10-14,"2011",7923,432.312381673609,43391.0206992301,4045.25975009466,2599,6340.22844881989,0.138331452732551,70277.3371197779,670.557364634608,454.309352517986,2.60166603559258
"273","102 S Grand St, Hammonton, NJ, 08037","for_sale",279900,3,1,0.26,"102 S Grand St","Hammonton","New Jersey","08037",1269,2014-12-11,"2014",11580,616.170984455959,55627.8005181347,3230.42832469775,3230,7996.51986183074,0.104490500863558,98557.9542314335,1846.69257340242,609.991364421416,2.49050086355786
"274","102 Shelley Ln, Yardley, PA, 19067","for_sale",560000,4,3,0.53,"102 Shelley Ln","Yardley","Pennsylvania","19067",2149,2011-07-12,"2011",26349,1606.94261641808,256179.160727162,17626.8160461498,10598,50264.198755171,0.102242969372652,360346.695889787,2705.91362101028,1959.21909749896,3.02432729894873
"275","1020 Plandome Rd, Manhasset, NY, 11030","for_sale",3980000,6,7,0.51,"1020 Plandome Rd","Manhasset","New York","11030",4582,2012-07-16,"2012",8550,2673.98128654971,762137.221052632,21410.4116959064,3500,220882.995321637,0.0456140350877193,938319.657309941,1767.52046783626,1318.58479532164,3.88771929824561
